Company_ID,What is the size of your business?,What industry does your business operate in?,Does your business have a dedicated IT or cybersecurity team?,annual cybersecurity budget?,How frequently does your business review or update its cybersecurity policies?,(Optional) Has your business ever experienced a cybersecurity issue,"If yes, which types of incidents occurred? (Select all that apply):",What impact did the cybersecurity incident(s) have on your business?,How concerned are you about cybersecurity threats affecting your business?,Does your business keep up with news or alerts about cybersecurity threats?,Does your business have a formal cybersecurity policy in place?,Do you have a plan to respond to cybersecurity breaches?,How often does your business review cybersecurity risks?,Which cybersecurity measures does your business use? (Select all that apply):,Which cybersecurity standards does your organization follow? (Select all that apply):,What are the most pressing cybersecurity challenges currently faced by your business? (Select all that apply),Where do you get information about cybersecurity threats or best practices? (Select all that apply):,How likely is your business to improve cybersecurity in the next 12 months?,Would your business benefit from a tailored cybersecurity risk report?,"Does your business have a documented and tested cybersecurity incident response plan that outlines clear roles, escalation procedures, and communication strategies?","Does your business store or process sensitive data (e.g., personal, financial, health)?","How does your fitness center's management establish and enforce security policies to protect member data and business operations, and how is compliance reviewed?","What is your approach to managing access for members and staff, covering both physical entry to the facility and logical access to member management systems?","How do you ensure that third-party service providers (e.g., member management software, payment processors, cleaning services) operate securely and protect your data?","What plans are in place to ensure your gym can continue to operate and maintain security during a major disruption, such as a power outage or a failure of your primary software systems?","How do you manage security related to your staff, from background checks before hiring to securing their access when they work remotely (e.g., a manager accessing schedules from home)?",How do you protect member and business records (digital and physical) and control the software installed on your computer systems?,How does your organization stay informed about security threats and maintain contact with relevant authorities or industry groups?
S21,Medium,Fitness,No-Team,Yes,No,Not Sure,Backup; Firewall; GDPR Compliance,Backup; Firewall; GDPR Compliance,Very concerned,No,Maybe,No,No,Phishing,NIST CSF,Insufficient Budget,"Newspapers, Internal Monitoring",Very Likely,No,No,Maybe,"A comprehensive set of security policies is defined, approved by management, and enforced for all staff. Compliance is regularly reviewed, and the overall security approach is subject to independent review.","An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,"We have a tested business continuity plan. This includes procedures to maintain security during a disruption, backup power for critical systems (e.g., access control, emergency lighting), and verified data backups.",Background screening is a standard part of our hiring process for all staff. We have a formal remote working policy that requires secure access methods.,We have procedures to protect physical and digital records. We also have a process to manage what software can be installed on operational systems.,We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S23,Medium,Fitness,No-Team,No,No,Yes,Phishing,Minimal Impact,Neutral,No,Maybe,Maybe,No,Backup; GDPR Compliance,Phishing,Compliance Complexity; Insufficient Budget; Limited Expertise,"IT Providers, National Agencies",Very Likely,Yes,No,No,"A comprehensive set of security policies is defined, approved by management, and enforced for all staff. Compliance is regularly reviewed, and the overall security approach is subject to independent review.","An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,"We have a tested business continuity plan. This includes procedures to maintain security during a disruption, backup power for critical systems (e.g., access control, emergency lighting), and verified data backups.",Background screening is a standard part of our hiring process for all staff. We have a formal remote working policy that requires secure access methods.,"Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.","We actively maintain contact with relevant authorities (e.g., local police for physical security) and special interest groups (e.g., fitness industry associations) to stay informed about relevant physical and cyber threats."
S25,Medium,Fitness,Outsourced,Whenever-Required,Whenever-Required,No,Phishing,Backup; Firewall; GDPR Compliance,Very concerned,No,No,No,No,MFA; Patch Management,Backup; Firewall; GDPR Compliance,Compliance Complexity; Employee Awareness; Insufficient Budget; Limited Expertise; Ops Integration,"IT Providers, National Agencies, Newspapers",Somewhat Likely,Yes,Yes,Yes,"Policies exist but are not consistently enforced by management, and compliance is not formally reviewed.","Formal policies control physical access (e.g., differentiating member, staff, and restricted areas) and logical access to software is based on job roles.","We select providers based on features and cost, without a formal security review.",We react to disruptions as they happen. We may have data backups but do not test them. We have no plan for utility failures.,Background screening is a standard part of our hiring process for all staff. We have a formal remote working policy that requires secure access methods.,Records are not specifically protected from loss or unauthorized access. Staff can install any software on company computers.,We do not actively seek threat information or maintain such contacts.
S30,Small,Fitness,No-Team,Whenever-Required,Yes,Yes,Phishing,Backup; Firewall; GDPR Compliance,Neutral,No,Yes,Maybe,Maybe,Firewall; GDPR Compliance; MFA,NIST CSF,Backup; Firewall; GDPR Compliance,"Internal Monitoring, IT Providers, National Agencies",Very Likely,Maybe,Yes,Yes,"A comprehensive set of security policies is defined, approved by management, and enforced for all staff. Compliance is regularly reviewed, and the overall security approach is subject to independent review.","An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,"We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.",Background screening is a standard part of our hiring process for all staff. We have a formal remote working policy that requires secure access methods.,"Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.",We may hear about threats through general news but have no formal process to analyze them or established contacts.
S32,Small,Fitness,No-Team,No,No,Yes,Phishing,Backup; Firewall; GDPR Compliance,Neutral,Maybe,Yes,Maybe,Yes,Firewall; GDPR Compliance; MFA,Phishing,Compliance Complexity,"Newspapers, National Agencies",Somewhat Likely,Yes,Yes,No,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We have a formal process to assess the security of all key suppliers. Our agreements contain specific information security requirements that are agreed upon before services begin.,"We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.","A formal screening process is applied to all personnel based on their role. We have a robust remote working policy with enforced technical controls (e.g., VPN, multi-factor authentication) for any access to member or business data from outside the facility.","Sensitive records are kept in locked offices, but digital records lack specific protection. Software installation is not formally managed.",We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S34,Small,Fitness,In-House,Yes,Quarterly,Not Sure,Backup; Firewall; GDPR Compliance,Minimal Impact,Neutral,No,Maybe,No,No,MFA; Patch Management,Backup; Firewall; GDPR Compliance,Insufficient Budget; Limited Expertise,"Internal Monitoring, National Agencies, Newspapers",Somewhat Likely,Yes,Yes,No,"A comprehensive set of security policies is defined, approved by management, and enforced for all staff. Compliance is regularly reviewed, and the overall security approach is subject to independent review.","Formal policies control physical access (e.g., differentiating member, staff, and restricted areas) and logical access to software is based on job roles.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,We have no formal plans to handle such disruptions.,"A formal screening process is applied to all personnel based on their role. We have a robust remote working policy with enforced technical controls (e.g., VPN, multi-factor authentication) for any access to member or business data from outside the facility.",We have procedures to protect physical and digital records. We also have a process to manage what software can be installed on operational systems.,We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S46,Small,Fitness,No-Team,No,No,No,Backup; Firewall; GDPR Compliance,Minimal Impact,Neutral,No,No,No,No,GDPR Compliance,Phishing,Compliance Complexity; Limited Expertise; Ops Integration,"IT Providers, Internal Monitoring",Somewhat Likely,Yes,No,Maybe,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,We react to disruptions as they happen. We may have data backups but do not test them. We have no plan for utility failures.,"We do not perform background checks, and we have no security policy for remote work.",We have procedures to protect physical and digital records. We also have a process to manage what software can be installed on operational systems.,We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S57,Small,Fitness,No-Team,Whenever-Required,Whenever-Required,Not Sure,Backup; Firewall; GDPR Compliance,Minimal Impact,Somewhat concerned,Yes,Yes,Maybe,No,MFA,NIST CSF,Compliance Complexity; Limited Expertise; Ops Integration,"IT Providers, National Agencies",Somewhat Likely,Yes,No,Maybe,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.","We have informal discussions about security with some providers, but it is not a contractual requirement.","We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.","Background checks are conducted for some, but not all, roles. Remote work is allowed but there are no specific security measures enforced.",We have procedures to protect physical and digital records. We also have a process to manage what software can be installed on operational systems.,"We actively maintain contact with relevant authorities (e.g., local police for physical security) and special interest groups (e.g., fitness industry associations) to stay informed about relevant physical and cyber threats."
S63,Medium,Fitness,No-Team,Whenever-Required,Annually,No,Backup; Firewall; GDPR Compliance,Phishing,Neutral,Yes,Maybe,Maybe,Maybe,Backup; Firewall; GDPR Compliance,Phishing,Compliance Complexity; Limited Expertise; Ops Integration,Not Applicable,Somewhat Likely,Yes,Not Sure,No,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We have a formal process to assess the security of all key suppliers. Our agreements contain specific information security requirements that are agreed upon before services begin.,"We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.","We do not perform background checks, and we have no security policy for remote work.","Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.",We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S64,Micro,Fitness,In-House,Whenever-Required,No,No,Backup; Firewall; GDPR Compliance,Backup; Firewall; GDPR Compliance,Somewhat concerned,Yes,No,Maybe,Yes,Backup; Firewall; GDPR Compliance,Backup; Firewall; GDPR Compliance,Compliance Complexity; Employee Awareness; Insufficient Budget; Limited Expertise; Ops Integration,National Agencies,Somewhat Likely,Maybe,Not Sure,No,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,Access is managed informally with physical keys or shared codes. We use shared logins for our software.,We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,"We have a tested business continuity plan. This includes procedures to maintain security during a disruption, backup power for critical systems (e.g., access control, emergency lighting), and verified data backups.","Background checks are conducted for some, but not all, roles. Remote work is allowed but there are no specific security measures enforced.",Records are not specifically protected from loss or unauthorized access. Staff can install any software on company computers.,We do not actively seek threat information or maintain such contacts.
S66,Micro,Fitness,Outsourced,Yes,Yes,Not Sure,Backup; Firewall; GDPR Compliance,Minimal Impact,Somewhat concerned,Yes,Maybe,Yes,Maybe,Backup; Firewall; GDPR Compliance,Phishing,Insufficient Budget,"IT Providers, National Agencies, Newspapers",Somewhat Likely,Maybe,No,Yes,"A comprehensive set of security policies is defined, approved by management, and enforced for all staff. Compliance is regularly reviewed, and the overall security approach is subject to independent review.","An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.","We have informal discussions about security with some providers, but it is not a contractual requirement.","We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.","A formal screening process is applied to all personnel based on their role. We have a robust remote working policy with enforced technical controls (e.g., VPN, multi-factor authentication) for any access to member or business data from outside the facility.","Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.",We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S69,Micro,Fitness,No-Team,Whenever-Required,Whenever-Required,Yes,Phishing,Backup; Firewall; GDPR Compliance,Very concerned,No,No,No,No,MFA; Patch Management,NIST CSF,Backup; Firewall; GDPR Compliance,"Newspapers, IT Providers, National Agencies",Not Likely,Maybe,No,No,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,"We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.",Background screening is a standard part of our hiring process for all staff. We have a formal remote working policy that requires secure access methods.,"Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.",We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S72,Micro,Fitness,Outsourced,Yes,Annually,Yes,Phishing,Phishing,Neutral,Maybe,No,Yes,Yes,GDPR Compliance,Backup; Firewall; GDPR Compliance,Insufficient Budget; Limited Expertise,Not Applicable,Very Likely,Yes,Not Sure,Maybe,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"Formal policies control physical access (e.g., differentiating member, staff, and restricted areas) and logical access to software is based on job roles.",We review the security practices of critical providers and include basic security and privacy clauses in our agreements.,"We have a documented plan for key disruptions (e.g., power, internet outage) and we perform regular, tested data backups for our member management system.","Background checks are conducted for some, but not all, roles. Remote work is allowed but there are no specific security measures enforced.","Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.",We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S85,Micro,Fitness,In-House,Yes,No,Yes,Backup; Firewall; GDPR Compliance,Phishing,Very concerned,Yes,No,Maybe,No,MFA,NIST CSF,Compliance Complexity; Limited Expertise; Ops Integration,Not Applicable,Not Likely,Maybe,Yes,Maybe,"A comprehensive set of security policies is defined, approved by management, and enforced for all staff. Compliance is regularly reviewed, and the overall security approach is subject to independent review.","An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We have a formal process to assess the security of all key suppliers. Our agreements contain specific information security requirements that are agreed upon before services begin.,"We have a tested business continuity plan. This includes procedures to maintain security during a disruption, backup power for critical systems (e.g., access control, emergency lighting), and verified data backups.","A formal screening process is applied to all personnel based on their role. We have a robust remote working policy with enforced technical controls (e.g., VPN, multi-factor authentication) for any access to member or business data from outside the facility.",We have procedures to protect physical and digital records. We also have a process to manage what software can be installed on operational systems.,We subscribe to some security newsletters or bulletins and have contact information for local law enforcement.
S89,Medium,Fitness,Outsourced,Whenever-Required,Quarterly,No,Backup; Firewall; GDPR Compliance,Backup; Firewall; GDPR Compliance,Very concerned,Yes,No,No,No,MFA; Patch Management,NIST CSF,Phishing,"Internal Monitoring, National Agencies",Very Likely,Yes,Yes,Yes,Management has defined and approved key security policies. Compliance with these policies is checked periodically.,"An integrated system manages both physical and logical access based on defined roles. The full lifecycle of identities is managed, with access rights automatically provisioned and revoked based on membership/employment status.",We have a formal process to assess the security of all key suppliers. Our agreements contain specific information security requirements that are agreed upon before services begin.,We react to disruptions as they happen. We may have data backups but do not test them. We have no plan for utility failures.,"We do not perform background checks, and we have no security policy for remote work.","Formal policies and technical controls are in place to protect all records from loss, unauthorized access, or release. The installation of all software is managed by a secure procedure, and the use of privileged administrative tools is tightly restricted and controlled.","We actively maintain contact with relevant authorities (e.g., local police for physical security) and special interest groups (e.g., fitness industry associations) to stay informed about relevant physical and cyber threats."
